what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1555889622335
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1555889622335
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1555889622335
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1555889622335
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1555889622335
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1555889622335
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1555889622335
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1555889622335
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1555889622335
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1555889622335
started,bundle,com.vp.vpsde.ec,6.2.1,"com.vp.vpsde.ec",1555889622335
os,sysinfo,,,"win32",1555889622336
arch,sysinfo,,,"x86_64",1555889622336
ws,sysinfo,,,"win32",1555889622336
locale,sysinfo,,,"en_US",1555889622336
processors,sysinfo,,,"8",1555889622336
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1555889622336
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1555889622336
java.specification.name,sysinfo,,,"Java Platform API Specification",1555889622336
java.specification.vendor,sysinfo,,,"Oracle Corporation",1555889622336
java.specification.version,sysinfo,,,"1.8",1555889622336
java.vendor,sysinfo,,,"Oracle Corporation",1555889622336
java.version,sysinfo,,,"1.8.0_171",1555889622336
java.vm.info,sysinfo,,,"mixed mode",1555889622336
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1555889622336
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1555889622336
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1555889622336
java.vm.specification.version,sysinfo,,,"1.8",1555889622336
java.vm.vendor,sysinfo,,,"Oracle Corporation",1555889622336
java.vm.version,sysinfo,,,"25.171-b11",1555889622336
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1555889623558
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1555889623638
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1555889624397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889624426
error,log,,,"DDMS files not found: C:\\Users\\Rob\\android-sdks\\platform-tools\\adb.exe C:\\Users\\Rob\\android-sdks\\tools\\hprof-conv.exe C:\\Users\\Rob\\android-sdks\\tools\\traceview.bat ",1555889624438
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1555889624440
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1555889624548
